fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
48335,0.1814,0.6598,0.1588,0.5114,0.0642,0.4068,0,0.004,0,0.8225,0.0993,0.0991,50144,0.0199,0.1375,0.7449,0.1463,0,0,0.1257,0,1,0,Rural,5,4,4,3,5,33.6965068
48337,0.1957,0.591,0.2132,0.8508,0.0071,0.1143,0,0.0043,0.0001,0.8648,0.175,0.1243,59127,0.0697,0.1514,0.765,0.1206,0.0503,0.0937,0.2072,1,1,0,Rural,4,2,4,4,4,50.37783375
48339,0.217,0.6516,0.1314,0.6366,0.0515,0.2524,0.0316,0.0014,0.0002,0.896,0.3637,0.0884,88597,0.0457,0.0755,0.9249,0.0257,0.0768,0.0571,0.2021,5,5,6.55,Urban,3,1,1,2,1,41.7763845
48341,0.273,0.6151,0.112,0.3114,0.0394,0.5766,0.0446,0.0024,0,0.6711,0.1295,0.1173,55543,0.0203,0.0718,0.8377,0.1199,0,0,0.1584,0,0,9.01,Rural,5,4,4,4,4,37.21968922
48343,0.1899,0.5966,0.2135,0.6303,0.2206,0.1066,0.0148,0.0023,0,0.8993,0.1285,0.1456,46468,0.0571,0.1687,0.8094,0.0085,0.0251,0.3841,0.1859,0,0,0,Rural,5,3,4,5,4,33.36670003
48345,0.1883,0.5374,0.2742,0.792,0.0118,0.134,0,0,0,0.8659,0.2159,0.0725,59286,0.0362,0.1293,0.6943,0.1277,0,0,0.1727,0,0,0,Rural,3,3,3,5,3,0
48347,0.1958,0.656,0.1482,0.5868,0.1766,0.2006,0.0095,0.0023,0.0003,0.8533,0.247,0.2314,47306,0.0744,0.1519,0.8296,0.0211,0.0385,0.1281,0.1707,2,1,1.53,Rural,4,3,2,4,3,13.88417513
48349,0.2182,0.6134,0.1684,0.5384,0.1119,0.2879,0.0066,0.0015,0.0158,0.8018,0.1665,0.1409,50466,0.0509,0.1499,0.8074,0.0144,0.0655,0.1993,0.1972,2,1,0,Rural,5,2,4,5,4,17.33836788
48351,0.1756,0.6164,0.2079,0.7296,0.2052,0.0411,0.0068,0.0048,0,0.8207,0.0829,0.2395,38116,0.1037,0.1243,0.7944,0.081,0.0041,0.009,0.1972,0,0,0,Urban,5,4,5,5,5,39.89786147
48353,0.2174,0.5994,0.1832,0.5351,0.0462,0.3904,0.0043,0.002,0,0.8233,0.1631,0.1623,44700,0.0795,0.1772,0.755,0.0438,0.0747,0.1379,0.201,0,1,0,Rural,5,3,5,4,5,33.95124601
