fips,Percent-of-Population-Under-15-(2017-2021),Percent-of-Population-Aged-15-to-64-(2017-2021),Percent-of-Population-65+-(2017-2021),Percent-of-Population-White-(non-Hispanic)-(2017-2021),Percent-of-Populaiton-Black-(non-Hispanic)-(2017-2021),Percent-of-Population-Hispanic-or-Latino-(2017-2021),Percent-of-Population-Asian-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-American/Alaska-Native-(non-Hispanic)-(2017-2021),Percent-of-Population-Native-Hawaiian/Pacific-Islander-(2017-2021),Percent-of-Population-Aged-25+-who-Have-at-Least-a-High-School-Diploma-(2017-2021),Percent-of-Population-Aged-25+-who-Have-a-Bachelor's-Degree-or-More-(2017-2021),Poverty-Rate-(2017-2021),Median-Household-Income-(2017-2021),Unemployment-Rate-(2017-2021),Percent-of-Residents-with-a-Disability-(Aged-18-64)-(2017-2021),%-of-households-with-broadband-internet-connection-(2017-2021),Percent-of-Popualtion-Employed-in-Mining-and-Natural-Resources-(2017-2021),Percent-of-Popualtion-Employed-in-Construction-(2017-2021),Percent-of-Popualtion-Employed-in-Manufacturing-(2017-2021),Percent-of-Popualtion-Employed-in-Trade-Transporation-and-Utilities-(2017-2021),Number-of-Substance-Use-Facilities-(As-of-March-2023),Number-of-Mental-Health-Facilities-(As-of-March-2023),MDsPerCapita,Urbanicity,Social-Resilience-Score,Economic-Risk-Score,Social-Risk-Score,Economic-Resilience-Score,Prosperity-Index-Score,death-rate-2018-2021
1001,0.1895,0.6591,0.1514,0.731,0.1968,0.0305,0.0111,0.0017,0,0.8958,0.2813,0.1358,62660,0.0282,0.1485,0.8546,0.0165,0.0441,0.141,0.1967,0,0,3.63,Urban,4,2,2,5,3,15.45356205
1003,0.1769,0.6171,0.2061,0.8257,0.0869,0.0468,0.0096,0.0047,0,0.9101,0.3245,0.092,64346,0.0369,0.1086,0.8786,0.0109,0.0575,0.0549,0.2369,3,1,7.52,Urban,3,1,2,2,2,56.35514307
1005,0.1719,0.638,0.1901,0.4461,0.4725,0.0466,0.0042,0.0028,0,0.7567,0.1115,0.2647,36422,0.0862,0.1495,0.6461,0.0383,0.0186,0.2922,0.1767,1,1,0,Rural,5,5,3,4,5,35.63086425
1007,0.1651,0.6745,0.1604,0.7405,0.2189,0.0283,0.0021,0.0009,0,0.8054,0.1191,0.1694,54277,0.0971,0.2191,0.746,0.017,0.1516,0.1165,0.2038,0,0,8.86,Urban,4,4,4,3,4,44.61895413
1009,0.1909,0.6294,0.1797,0.8592,0.0127,0.0953,0.0037,0.0012,0.0013,0.8365,0.149,0.1324,52830,0.0602,0.15,0.8096,0.0092,0.0646,0.1528,0.1976,1,1,0,Urban,5,2,3,5,4,39.05984648
1011,0.1987,0.6393,0.1619,0.2037,0.6898,0.0855,0.0044,0,0,0.7761,0.1169,0.3093,29063,0.03,0.1332,0.5943,0.0184,0,0.211,0.0973,0,0,0,Rural,5,5,3,5,5,38.5133834
1013,0.1892,0.6026,0.2081,0.5092,0.4479,0.0161,0.0146,0.0025,0,0.8556,0.1404,0.1818,45236,0.0655,0.1387,0.7634,0.0289,0.0314,0.2036,0.2129,0,4,0,Rural,4,3,4,4,4,36.49444763
1015,0.1788,0.6444,0.1768,0.7135,0.2104,0.0399,0.0075,0.0016,0.0016,0.8521,0.1953,0.1754,50977,0.0701,0.187,0.8157,0.0049,0.0222,0.1482,0.1986,3,3,9.49,Urban,4,3,3,4,4,30.9211939
1017,0.1735,0.6305,0.196,0.5482,0.4008,0.0272,0.0103,0.0019,0.0001,0.8278,0.1365,0.1507,47232,0.0315,0.1737,0.7713,0.0236,0.0293,0.2481,0.1715,0,0,2.94,Rural,5,3,4,5,4,25.83682609
1019,0.1561,0.6153,0.2286,0.9093,0.0462,0.0177,0.0011,0.0023,0,0.7982,0.1282,0.1497,43475,0.047,0.174,0.7667,0.0398,0.0144,0.1805,0.2332,2,2,7.72,Rural,4,2,4,4,4,36.03603604
1021,0.1962,0.6395,0.1643,0.7927,0.0883,0.0795,0.0047,0.0004,0,0.8176,0.1354,0.1572,56243,0.064,0.2008,0.7825,0.0144,0.0637,0.21,0.2284,2,1,2.28,Urban,5,2,4,4,4,51.27404864
1023,0.1639,0.6082,0.228,0.5645,0.4124,0.0108,0.0012,0.0005,0,0.8058,0.1171,0.2157,38581,0.0605,0.2102,0.6373,0.0393,0,0,0.2324,1,1,0,Rural,4,5,3,4,4,39.08692933
1025,0.1814,0.6212,0.1974,0.5152,0.4533,0.014,0.0045,0.0011,0,0.8222,0.1389,0.2191,44108,0.1223,0.1834,0.6779,0.0405,0.0185,0.2097,0.2147,1,1,8.05,Rural,4,5,5,4,4,38.55050116
1027,0.1776,0.6207,0.2017,0.8041,0.1328,0.0312,0.0025,0,0,0.8301,0.1338,0.1693,45163,0.0612,0.1667,0.734,0.0138,0.0087,0.528,0.0844,1,0,22.25,Rural,5,3,4,4,4,35.25098703
1029,0.19,0.6181,0.1919,0.924,0.026,0.0265,0.0001,0.0014,0,0.8306,0.1638,0.1418,48333,0.0447,0.1972,0.7279,0.0376,0.1128,0.1396,0.1708,0,1,0,Rural,5,2,4,4,4,33.23142363
1031,0.1965,0.6345,0.169,0.6914,0.1617,0.0807,0.0144,0.0068,0.0001,0.8636,0.2268,0.1594,59034,0.0509,0.1734,0.8384,0.0356,0.0246,0.2104,0.1893,0,1,3.92,Rural,4,2,3,4,3,16.9673661
1033,0.1773,0.6266,0.1961,0.7778,0.163,0.0308,0.0045,0.0035,0.0009,0.868,0.1786,0.1513,52017,0.0376,0.1528,0.7449,0.0069,0.0688,0.2562,0.1871,1,0,11.03,Urban,3,2,4,3,3,35.21808801
1035,0.1745,0.5973,0.2282,0.501,0.4809,0.0014,0.0037,0.002,0,0.8757,0.1245,0.1297,37986,0.0467,0.1891,0.6157,0.0536,0.0175,0.1546,0.3104,0,0,7.88,Rural,4,3,4,5,4,42.45202921
1037,0.128,0.6348,0.2371,0.6407,0.3068,0.0262,0,0.0026,0,0.8509,0.1121,0.1115,50013,0.0335,0.1995,0.7503,0.0249,0.0194,0.4073,0.1145,0,0,0,Rural,5,4,4,5,5,38.30683777
1039,0.1831,0.6077,0.2093,0.8285,0.1233,0.0185,0.005,0.0034,0.0009,0.8518,0.1581,0.1804,46186,0.0704,0.165,0.751,0.0149,0.0375,0.1882,0.2563,1,3,7.95,Rural,4,2,4,4,4,24.00640171
1041,0.1861,0.6213,0.1926,0.7023,0.2412,0.0083,0.0131,0.0013,0.0004,0.8123,0.1642,0.131,43103,0.0472,0.1976,0.6437,0.0416,0.0229,0.2955,0.1731,0,3,0,Rural,4,3,4,4,4,37.59398496
1043,0.1863,0.6316,0.1821,0.911,0.0112,0.0452,0.0036,0.0033,0.0001,0.8421,0.1648,0.1222,52690,0.044,0.1807,0.8191,0.0138,0.0453,0.2009,0.2413,4,1,6.15,Rural,4,2,4,4,3,50.49983358
1045,0.1925,0.6375,0.17,0.6739,0.2018,0.0688,0.0121,0.006,0.0003,0.8484,0.1868,0.1671,50052,0.0817,0.2051,0.823,0.0047,0.0297,0.2335,0.1483,1,2,2.02,Rural,5,4,4,5,4,18.20277896
1047,0.1975,0.6196,0.1829,0.269,0.716,0.0013,0.0064,0.0016,0,0.8591,0.1611,0.2431,34957,0.0852,0.1597,0.7283,0.015,0.0358,0.2342,0.1564,0,0,0,Rural,4,5,4,5,5,22.98146162
1049,0.1992,0.6313,0.1695,0.7963,0.0156,0.1515,0.0008,0.0055,0.0006,0.7821,0.1443,0.2057,44037,0.0426,0.1323,0.7994,0.0168,0.0279,0.2908,0.2042,2,2,4.23,Rural,5,4,4,5,4,40.52883137
1051,0.1817,0.6633,0.155,0.7302,0.2072,0.0307,0.0098,0.0032,0,0.8764,0.2456,0.1028,67597,0.0476,0.1308,0.8543,0.0115,0.0432,0.1189,0.2187,2,1,2.47,Urban,4,2,2,4,3,13.76999518
1053,0.1878,0.6326,0.1796,0.5995,0.3111,0.0251,0.0025,0.0322,0,0.8174,0.1255,0.2349,38464,0.0976,0.1996,0.6809,0.0305,0.0341,0.1566,0.1788,0,0,7.92,Rural,5,4,4,4,5,43.38512433
1055,0.1777,0.6331,0.1892,0.7707,0.1532,0.0427,0.0067,0.0018,0,0.862,0.1801,0.1601,46984,0.0612,0.1579,0.8233,0.0011,0.0284,0.1457,0.1902,7,4,13.54,Urban,4,3,4,4,4,58.95542583
1057,0.1768,0.6136,0.2096,0.8385,0.1275,0.0054,0.0044,0.0016,0.0005,0.8303,0.1184,0.2133,43960,0.0934,0.205,0.7191,0.0479,0.021,0.2379,0.1666,2,0,0,Rural,4,3,4,4,4,73.32722273
1059,0.2109,0.6243,0.1648,0.7581,0.0429,0.1818,0.0027,0.0019,0.0002,0.795,0.1427,0.1807,43633,0.0462,0.1357,0.6066,0.0139,0.0199,0.4436,0.125,0,0,6.33,Rural,5,4,4,4,5,28.0951489
1061,0.1843,0.6158,0.1999,0.8154,0.0926,0.0426,0.006,0.0053,0.0003,0.8249,0.1349,0.2351,43581,0.0346,0.2344,0.7214,0.0763,0.0279,0.1369,0.2629,1,2,0,Urban,5,3,5,4,4,33.82949932
1063,0.1853,0.5859,0.2288,0.1742,0.7919,0.0256,0,0,0,0.8444,0.127,0.398,28826,0.1,0.2829,0.5584,0.0214,0.0154,0.2904,0.1242,2,1,0,Rural,3,5,4,4,5,38.21169278
1065,0.1956,0.6104,0.194,0.3834,0.5898,0.0007,0.0031,0,0,0.8127,0.1579,0.2491,32294,0.0695,0.203,0.6747,0.0779,0.0537,0.1798,0.1334,0,1,6.6,Urban,4,4,5,5,5,33.74046832
1067,0.1745,0.6013,0.2242,0.6925,0.2639,0.0274,0.0038,0.002,0.0012,0.8131,0.2158,0.1439,55870,0.0495,0.1716,0.8036,0.0914,0.0566,0.1162,0.2008,0,2,0,Urban,4,2,3,4,4,34.95484999
1069,0.19,0.632,0.178,0.6527,0.2714,0.0348,0.0091,0.0018,0.0002,0.8776,0.2223,0.1767,50222,0.0523,0.1538,0.8061,0.0035,0.0411,0.0868,0.2685,5,11,16.36,Urban,3,3,3,3,3,27.26717127
1071,0.173,0.6259,0.2011,0.8893,0.0347,0.0314,0.0034,0.0088,0.0004,0.8243,0.161,0.1761,43785,0.057,0.2029,0.7836,0.0038,0.0323,0.3405,0.2015,2,3,7.6,Rural,5,4,4,5,5,17.12719799
1073,0.1922,0.6491,0.1587,0.4919,0.4276,0.0405,0.0167,0.001,0.0002,0.9096,0.3466,0.159,58330,0.0609,0.1302,0.8523,0.0051,0.0481,0.0664,0.2019,12,11,15.02,Urban,1,3,2,3,2,116.1251952
1075,0.1753,0.6066,0.218,0.8597,0.1112,0.0103,0.0013,0.0002,0,0.8246,0.0995,0.1628,43324,0.0494,0.2356,0.6576,0.0181,0.0216,0.3494,0.1648,0,0,0,Rural,5,4,5,5,5,35.89633139
1077,0.1638,0.6383,0.1979,0.8382,0.0972,0.0289,0.005,0.0028,0.0009,0.8869,0.2548,0.133,50000,0.0382,0.1075,0.781,0.0061,0.0523,0.0935,0.2263,5,2,5.4,Urban,2,2,2,4,3,20.35525273
1079,0.1832,0.6354,0.1814,0.7623,0.1043,0.0241,0.0015,0.0536,0.0005,0.8323,0.1529,0.1538,51712,0.0298,0.1891,0.6852,0.0363,0.0665,0.035,0.2284,0,1,5.98,Urban,5,3,4,5,4,27.19937139
1081,0.1769,0.7004,0.1227,0.6709,0.2207,0.038,0.0429,0.0013,0,0.9138,0.3862,0.1992,57191,0.0429,0.1131,0.8586,0.0062,0.0421,0.1097,0.1955,1,2,3.25,Urban,3,2,1,4,3,16.83863363
1083,0.1819,0.6671,0.1509,0.7528,0.1295,0.0618,0.0179,0.005,0.0008,0.8652,0.2839,0.1148,70736,0.0452,0.1237,0.8654,0.0177,0.0978,0.1666,0.2012,2,1,4.43,Urban,4,1,2,3,2,14.81964492
1085,0.1852,0.6246,0.1901,0.2483,0.7466,0.0019,0,0,0,0.8474,0.151,0.2148,31961,0.0889,0.2541,0.5578,0.0566,0.0458,0.3713,0.1424,0,0,0,Urban,3,5,4,5,5,38.70718018
1087,0.1426,0.6548,0.2026,0.1647,0.8095,0.0053,0.0016,0.0002,0,0.8352,0.2124,0.2215,39303,0.1101,0.1604,0.6924,0.0093,0.0036,0,0.1041,1,0,10.16,Rural,4,4,3,5,4,35.91585428
1089,0.1811,0.6694,0.1495,0.6409,0.2404,0.0518,0.0256,0.0049,0.0005,0.9197,0.4429,0.1091,71153,0.0436,0.1072,0.8894,0.002,0.0311,0.1092,0.1392,14,8,10,Urban,2,1,1,3,2,54.69070964
1091,0.1877,0.6152,0.197,0.4464,0.5125,0.0275,0.0054,0.0011,0,0.8658,0.197,0.2232,35379,0.0537,0.2235,0.7208,0.0536,0.0529,0.1888,0.1787,2,4,14.95,Rural,3,4,4,4,4,36.08805485
1093,0.1699,0.6221,0.208,0.9089,0.0397,0.0262,0.0027,0.0024,0,0.8133,0.1261,0.1748,44551,0.0593,0.2532,0.7317,0.0089,0.0121,0.3602,0.1677,5,1,9.92,Rural,5,4,5,4,5,30.62057703
1095,0.2091,0.6222,0.1687,0.7986,0.0284,0.1466,0.0066,0.0019,0.0004,0.8352,0.2139,0.1768,52938,0.039,0.1278,0.8579,0.0053,0.0307,0.3235,0.1894,2,2,10.58,Rural,4,3,4,4,4,36.01601169
1097,0.1958,0.6415,0.1627,0.562,0.3585,0.0297,0.0199,0.0048,0.0002,0.8786,0.2392,0.1757,51169,0.0576,0.1142,0.7994,0.0051,0.0608,0.1086,0.2129,11,2,8.93,Urban,3,3,3,4,3,38.58955188
1099,0.1731,0.6236,0.2033,0.5391,0.4217,0.0036,0.0041,0.0153,0.0004,0.824,0.1289,0.2217,32631,0.1186,0.1671,0.5298,0.0419,0.0397,0.1879,0.27,0,0,13.65,Rural,4,5,4,5,5,39.77131494
1101,0.1984,0.6503,0.1513,0.3243,0.5832,0.0366,0.0323,0.001,0.0001,0.8773,0.3336,0.1962,52511,0.0656,0.1508,0.8454,0.0011,0.0331,0.1023,0.1711,4,2,6.6,Urban,2,3,3,4,3,17.89830272
1103,0.19,0.635,0.175,0.7471,0.1282,0.0865,0.0045,0.0035,0.0021,0.8468,0.2276,0.1459,56128,0.0472,0.1475,0.7989,0.0028,0.0677,0.2592,0.183,3,3,10.04,Urban,4,3,3,4,4,41.59598069
1105,0.1743,0.6296,0.196,0.294,0.6933,0.0101,0.0015,0.0002,0,0.7863,0.189,0.3569,27057,0.1955,0.1931,0.5729,0.0178,0.0281,0.2223,0.1041,0,0,10.15,Rural,3,5,4,5,5,45.9664445
1107,0.1557,0.6551,0.1892,0.5352,0.3951,0.0515,0.0004,0.0009,0,0.8327,0.133,0.2267,43389,0.0699,0.2341,0.7264,0.0602,0.0223,0.1983,0.1288,0,0,4.99,Urban,5,4,5,4,5,36.38253638
1109,0.1629,0.6846,0.1525,0.5564,0.3642,0.0237,0.0194,0.0039,0,0.8729,0.2775,0.2378,40106,0.0444,0.1136,0.7402,0.0096,0.0216,0.1646,0.2817,1,0,3.01,Rural,4,3,2,4,3,27.12804437
1111,0.1766,0.6146,0.2087,0.7484,0.1856,0.0292,0.0005,0.0007,0,0.8028,0.1622,0.1822,47081,0.0397,0.1476,0.7665,0.0248,0.0313,0.2201,0.2174,1,0,0,Rural,4,3,4,4,4,36.39010189
1113,0.2026,0.6534,0.1439,0.4449,0.4424,0.0574,0.011,0.0023,0.0005,0.8525,0.1727,0.2194,44065,0.0635,0.2042,0.7515,0.0069,0.0437,0.2037,0.1782,2,0,1.71,Urban,5,4,4,5,5,49.40795638
1115,0.188,0.6445,0.1675,0.8518,0.0952,0.025,0.0055,0.0038,0.0002,0.8601,0.1849,0.1205,65070,0.0483,0.1383,0.8619,0.0038,0.0774,0.1765,0.2337,1,1,6.93,Urban,4,2,3,4,3,97.33221254
1117,0.1899,0.6545,0.1555,0.7649,0.1243,0.0581,0.0192,0.002,0.0001,0.9362,0.4479,0.0698,82592,0.0328,0.0939,0.9205,0.0063,0.0643,0.0643,0.2285,3,2,9.23,Urban,2,1,1,2,1,53.44687019
1119,0.1665,0.6457,0.1878,0.2484,0.7114,0.0122,0.0131,0.0013,0,0.8727,0.1947,0.3155,27099,0.0697,0.2062,0.673,0.0209,0.0159,0.1155,0.1549,1,1,0,Rural,4,5,3,5,5,40.05768306
1121,0.1713,0.6503,0.1784,0.621,0.3208,0.0245,0.0035,0.0019,0.0002,0.8289,0.1593,0.1863,45400,0.0794,0.1972,0.8091,0.0155,0.0378,0.3233,0.1581,1,1,3.7,Rural,5,4,4,5,4,29.32193036
1123,0.1736,0.6119,0.2145,0.6868,0.2704,0.0246,0.0021,0.0005,0,0.8156,0.1807,0.1677,50652,0.0995,0.1857,0.7914,0.0064,0.0349,0.1903,0.1402,1,0,2.44,Rural,4,3,4,3,4,21.80021316
1125,0.1771,0.6886,0.1343,0.6055,0.3219,0.0395,0.0164,0.0008,0.0002,0.8964,0.3064,0.158,57508,0.0526,0.108,0.8507,0.0161,0.047,0.1689,0.1613,4,3,5.93,Urban,4,2,2,3,3,38.40228628
1127,0.1847,0.6234,0.1919,0.8769,0.0585,0.0269,0.0018,0.0013,0,0.8229,0.1409,0.1693,47442,0.0699,0.2218,0.7865,0.0212,0.0342,0.1287,0.2237,5,1,15.25,Urban,4,3,5,4,4,44.4826211
1129,0.1665,0.6271,0.2064,0.6511,0.238,0.0106,0.0012,0.0718,0,0.8617,0.1356,0.1668,44512,0.0638,0.1276,0.7101,0.0615,0.0364,0.2771,0.2393,1,1,0,Rural,4,4,4,4,4,38.52574804
1131,0.1945,0.6075,0.198,0.2673,0.7085,0.0054,0.0002,0.0004,0,0.7924,0.1097,0.2741,36385,0.141,0.1829,0.7113,0.0335,0.029,0.3207,0.1284,0,0,8.99,Rural,4,5,4,5,5,37.43215422
1133,0.1666,0.6189,0.2145,0.9326,0.0092,0.0317,0.0021,0.0015,0.0007,0.7931,0.1346,0.193,46096,0.0487,0.213,0.7627,0.0242,0.018,0.4497,0.1573,2,1,20.82,Rural,5,4,5,3,5,42.2832981
2013,0.1103,0.7727,0.117,0.1279,0.0176,0.1053,0.2089,0.4403,0.0032,0.8472,0.1594,0.1337,72258,0.0453,0.0567,0.5755,0,0,0.7948,0.0351,0,2,0,Rural,5,3,2,5,4,29.33411558
2016,0.1,0.8305,0.0695,0.2285,0.0347,0.0973,0.4578,0.0996,0.0166,0.9104,0.1681,0.0835,90708,0.0382,0.0516,0.7699,0.0119,0.0116,0.5047,0.208,0,1,17.5,Rural,5,3,3,4,4,38.08798324
2020,0.2041,0.6813,0.1147,0.5613,0.0516,0.095,0.0949,0.0678,0.0287,0.9416,0.3677,0.0915,88871,0.0538,0.1001,0.9274,0.018,0.0508,0.0137,0.2221,22,18,27.73,Urban,1,2,1,2,1,75.54393341
2050,0.2982,0.627,0.0748,0.092,0.0092,0.0207,0.0139,0.8333,0.0023,0.8197,0.1273,0.2855,57460,0.1813,0.1164,0.7478,0,0.0063,0,0.2003,3,3,39.14,Rural,5,5,4,4,5,32.40790753
2060,0.1602,0.7091,0.1307,0.4122,0.0059,0.1284,0.0412,0.3133,0.0153,0.9471,0.2208,0.0352,81563,0.0242,0.1113,0.7651,0.0025,0.0164,0.5065,0.1191,0,0,0,Rural,3,2,3,2,2,0
2063,0.1914,0.6734,0.1351,0.7132,0.0165,0.0597,0.0627,0.0574,0.011,0.9542,0.3075,0.0407,87868,0.0357,0.1106,0.8885,0.0378,0.0251,0.1561,0.2191,2,2,,Rural,1,3,4,2,2,171.06201
2066,0.2065,0.6486,0.145,0.5776,0.0011,0.0486,0.0057,0.2763,0,0.9409,0.2976,0.1138,67439,0.0771,0.1313,0.7484,0,0.0129,0,0.1924,1,1,,Rural,1,4,2,3,2,455.4079696
2068,0.0718,0.8102,0.118,0.7965,0.0119,0.0059,0.0219,0.0247,0,0.9837,0.3943,0.1571,78750,0.0265,0.1433,0.8399,0,0.0104,0,0.1239,0,2,0,Rural,1,4,2,3,2,45.72473708
2070,0.2711,0.6165,0.1125,0.1441,0.0135,0.0327,0.002,0.7255,0.0006,0.8654,0.1956,0.1804,62115,0.1256,0.0949,0.7442,0,0.0012,0.1538,0.1242,0,0,20.08,Rural,4,5,3,3,4,40.82465809
2090,0.207,0.6821,0.1109,0.6837,0.0434,0.0825,0.033,0.0706,0.0058,0.9447,0.3256,0.0639,78321,0.0629,0.1214,0.8838,0.0285,0.0737,0.0153,0.2085,6,7,10.98,Urban,2,2,1,3,2,34.9977869
2100,0.2636,0.5276,0.2088,0.7969,0,0.0658,0.0186,0.0667,0,0.9769,0.2565,0.1675,63355,0.0371,0.076,0.8409,0.0079,0.0953,0.0446,0.1587,1,1,39.56,Rural,1,3,1,1,1,47.66444233
2105,0.1074,0.6639,0.2286,0.4435,0.0193,0.0988,0.0129,0.3219,0,0.9374,0.2234,0.0881,55990,0.1497,0.1107,0.5943,0,0,0.0395,0.1402,0,0,0,Rural,2,4,5,2,3,42.97378599
2110,0.1739,0.6872,0.1388,0.6251,0.0096,0.0704,0.0653,0.0991,0.0135,0.954,0.4006,0.0721,90126,0.0506,0.0921,0.9199,0.0545,0.0395,0.0208,0.181,5,5,49.19,Rural,1,2,1,2,1,68.2382134
2122,0.1857,0.6356,0.1787,0.787,0.0061,0.0436,0.0179,0.0741,0.0036,0.9395,0.2737,0.1185,70609,0.0823,0.1334,0.8501,0.0476,0.0467,0.0483,0.2029,9,7,32.96,Rural,2,3,1,1,1,57.91078333
2130,0.1767,0.6637,0.1596,0.6246,0.0077,0.0567,0.0824,0.1405,0.0023,0.9397,0.2639,0.0936,77820,0.0473,0.1168,0.8757,0.0148,0.042,0.0602,0.2311,4,5,51.04,Rural,2,2,1,2,1,71.7411579
2150,0.2201,0.6664,0.1136,0.4741,0.0089,0.089,0.2204,0.1095,0.0011,0.9049,0.2918,0.0776,83765,0.0575,0.0888,0.8963,0.0251,0.0294,0.2243,0.1517,0,1,35.92,Rural,2,3,1,2,2,37.82720533
2164,0.2272,0.6734,0.0994,0.2434,0.0223,0.001,0.0274,0.641,0.003,0.8927,0.2224,0.1571,49688,0.158,0.1433,0.6614,0,0.0173,0.0057,0.1801,0,0,0,Rural,4,4,3,3,4,101.4198783
2170,0.2217,0.6561,0.1222,0.777,0.0131,0.0539,0.0166,0.0603,0.003,0.9372,0.2371,0.1066,79300,0.0742,0.1279,0.8943,0.0088,0.1017,0.013,0.2088,5,8,19.25,Urban,3,3,1,3,2,65.53877555
2180,0.2941,0.6302,0.0757,0.1429,0.0086,0.0201,0.0122,0.7591,0.0002,0.8764,0.1837,0.2187,63977,0.1863,0.0949,0.7985,0,0.0117,0,0.1543,1,1,30.37,Rural,4,4,3,4,4,29.79145978
2185,0.2275,0.6992,0.0733,0.2821,0.0085,0.0403,0.054,0.5357,0.0191,0.8766,0.156,0.0856,83992,0.0915,0.0786,0.6966,0.4913,0.0051,0.0001,0.0519,1,3,0,Rural,5,3,3,4,4,27.61159687
2188,0.3047,0.6188,0.0765,0.1025,0.0112,0.0253,0.0127,0.818,0.0012,0.8431,0.1443,0.205,68654,0.1572,0.0827,0.8115,0,0.0067,0,0.1224,1,1,12.95,Rural,5,5,4,5,5,38.58024691
2195,,,,,,,,,,,,,,,,,0.0173,0.0313,0.1623,0.1839,1,1,,Rural,2,1,2,1,1,
2198,0.1852,0.6312,0.1837,0.4458,0.0027,0.0369,0.0148,0.3952,0,0.9235,0.192,0.1726,55857,0.0956,0.203,0.684,0.0593,0.0259,0.0518,0.1703,1,2,15.69,Rural,3,4,3,3,3,33.97893306
2220,0.1725,0.6691,0.1585,0.6145,0.0047,0.0714,0.0727,0.0987,0.0004,0.9481,0.3325,0.0687,82083,0.054,0.0981,0.8514,0.0147,0.0381,0.1296,0.1746,2,2,33.63,Rural,1,1,2,1,1,35.2195351
2230,0.1242,0.7427,0.1332,0.7381,0.0293,0.0376,0.0263,0.0436,0,0.9049,0.2505,0.0482,75000,0.1287,0.0761,0.8692,0,0.0161,0.0425,0.3152,0,0,0,Rural,1,3,3,2,2,0
2240,0.2326,0.6245,0.1429,0.7205,0.008,0.071,0.0296,0.137,0.0007,0.9257,0.1935,0.1141,68634,0.1032,0.1815,0.708,0.2144,0.0267,0.0131,0.1433,2,1,0,Rural,2,3,3,3,3,29.20134326
2270,,,,,,,,,,,,,,,,,0,0,0,0,,,,Rural,,,,,,
2275,0.1887,0.5648,0.2465,0.5685,0.0014,0.0504,0.019,0.2257,0.0208,0.8477,0.1516,0.1205,54891,0.0571,0.1221,0.7755,0.0139,0.0265,0.0626,0.1983,1,1,41.65,Rural,2,4,3,1,2,46.25346901
2282,0.1975,0.6085,0.194,0.3043,0.032,0.1121,0.1423,0.2847,0.0036,0.9459,0.1031,0.073,72083,0.0158,0.0547,0.838,0,0,0,0.1895,0,1,0,Rural,4,4,2,2,3,0
2290,0.2382,0.6065,0.1553,0.2139,0.0009,0.0274,0.0074,0.6853,0.0004,0.8712,0.1291,0.2321,43405,0.1281,0.1644,0.4592,0,0.0198,0,0.1057,1,0,35.71,Rural,4,4,3,5,4,36.81207436
4001,0.2216,0.6247,0.1537,0.1771,0.0085,0.0682,0.0055,0.7268,0.001,0.8218,0.1283,0.339,34788,0.0903,0.1201,0.4292,0.0098,0.0224,0.006,0.1022,6,2,12.44,Rural,4,5,4,5,5,58.67043762
4003,0.1784,0.5968,0.2248,0.5393,0.033,0.3571,0.0184,0.0072,0.0033,0.8868,0.2581,0.1424,55077,0.0708,0.1528,0.8453,0.0296,0.0548,0.0181,0.173,12,19,10.14,Urban,3,3,2,4,3,57.55763758
4005,0.1682,0.7033,0.1285,0.5303,0.0136,0.1456,0.0172,0.2507,0.0014,0.9097,0.3874,0.1757,61888,0.0781,0.115,0.8056,0.0022,0.0417,0.0634,0.1493,9,10,14.49,Urban,2,3,1,3,2,60.0240096
4007,0.1659,0.5459,0.2882,0.6108,0.0067,0.1915,0.0077,0.1618,0,0.8694,0.1879,0.1981,51406,0.0733,0.1719,0.742,0.0668,0.0469,0.0804,0.1493,5,4,20.68,Rural,4,4,5,3,4,65.77587341
4009,0.2206,0.6409,0.1385,0.5044,0.0198,0.3329,0.0058,0.1269,0.0009,0.8345,0.1468,0.1997,57105,0.0593,0.1098,0.8141,0.1525,0.0395,0.0253,0.1893,3,4,7.99,Rural,5,4,3,4,4,55.05308691
4011,0.2294,0.6417,0.1289,0.4543,0.0192,0.4788,0.0046,0.0346,0,0.8768,0.16,0.1157,67723,0.0357,0.1097,0.891,0,0.019,0,0.0894,1,2,0,Rural,5,4,2,5,4,31.4399497
4012,0.1375,0.466,0.3964,0.561,0.0038,0.2827,0.009,0.1178,0.0004,0.8399,0.1182,0.2016,39732,0.0772,0.1679,0.7131,0.0849,0.0118,0.0267,0.261,1,2,0,Rural,5,3,5,4,4,41.55535767
4013,0.1959,0.6524,0.1516,0.5376,0.0533,0.3153,0.0412,0.0145,0.0019,0.8884,0.3436,0.1204,72944,0.0499,0.0938,0.9018,0.0039,0.0626,0.0628,0.1959,156,178,13.33,Urban,2,2,2,3,2,92.32489754
4015,0.1397,0.5559,0.3043,0.7592,0.0101,0.1715,0.0112,0.0157,0.0022,0.8745,0.1463,0.16,49738,0.074,0.19,0.839,0.0085,0.0651,0.0598,0.2389,17,14,12.28,Urban,4,3,5,4,4,53.01172885
4017,0.22,0.5978,0.1821,0.4126,0.0083,0.1178,0.0045,0.4257,0.0017,0.8455,0.1666,0.2553,46126,0.1049,0.1717,0.6698,0.0293,0.044,0.0108,0.1698,13,5,17.56,Rural,4,4,4,4,4,63.78448349
